"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Automation","0","Headers","1","0","Custom Headers","0"
"0","API Automation","0","Response Time SLA","2","0","Performance SLA","0"
"0","Web Automation","0","Authentication","4","0","Login Validation","0"
"0","API Automation","0","Response Chaining","2","0","Request Chaining","0"
"0","Web Automation","0","Dropdown","3","0","Dropdown Selection","0"
"0","API Automation","0","PUT/PATCH/DELETE Requests","1","0","PATCH Request","0"
"0","Web Automation","0","JavaScript Alerts","2","0","JS Confirm","0"
"0","API Automation","0","Authentication","3","0","Basic Authentication","0"
"0","API Automation","0","GET Requests","1","0","Basic GET","0"
"0","API Automation","0","POST Requests","1","0","Edge Cases","0"
"0","Web Automation","0","Checkboxes","1","0","Checkbox Display","0"
"0","Web Automation","0","Authentication","1","0","Login","0"
"0","Web Automation","0","File Upload","1","0","File Upload","0"
"0","API Automation","0","GET Requests","1","0","JSON Response","0"
"0","Web Automation","0","JavaScript Alerts","1","0","JS Prompt","0"
"0","API Automation","0","PUT/PATCH/DELETE Requests","1","0","PUT Request","0"
"0","Web Automation","0","Dynamic Content","2","0","Dynamic Loading","0"
"0","API Automation","0","POST Requests","1","0","POJO Serialization","0"
"0","API Automation","0","GET Requests","1","0","Query Parameters","0"
"0","Web Automation","0","Hover Actions","3","0","Hover","0"
"0","Web Automation","0","Drag and Drop","2","0","HTML5 Drag and Drop","0"
"0","Web Automation","0","Checkboxes","2","0","Checkbox Interaction","0"
"0","API Automation","0","Headers","1","0","Default Headers","0"
"0","Web Automation","0","JavaScript Alerts","1","0","JS Alert","0"
"0","API Automation","0","PUT/PATCH/DELETE Requests","1","0","DELETE Request","0"
"0","API Automation","0","Schema Validation","1","0","Contract Testing","0"
"0","Web Automation","0","Authentication","1","0","Logout","0"
"0","API Automation","0","POST Requests","1","0","Basic POST","0"
"0","Web Automation","0","Multiple Windows","2","0","Window Handling","0"
"0","Web Automation","0","Frames","1","0","iFrame","1"
"0","Web Automation","0","File Download","1","0","File Download","0"
