"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3747","Basic auth with valid credentials returns 200","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.AuthenticationTest","API Tests","ra.hul.tests.api.AuthenticationTest","basicAuth_validCredentials_shouldReturn200"
"","3639","POST user validates against JSON schema","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.SchemaValidationTest","API Tests","ra.hul.tests.api.SchemaValidationTest","postUser_shouldMatchJsonSchema"
"","3752","POST /post with JSON body returns 200 and echoes data","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.PostRequestTest","API Tests","ra.hul.tests.api.PostRequestTest","post_withJsonBody_shouldReturn200AndEchoData"
"","2614","POST /post response time should be within SLA","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:58 UTC 2026","ra.hul.tests.api.ResponseTimeTest","API Tests","ra.hul.tests.api.ResponseTimeTest","post_responseTime_shouldBeWithinSla"
"","3707","PATCH /patch echoes the sent body","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.PutPatchDeleteTest","API Tests","ra.hul.tests.api.PutPatchDeleteTest","patch_shouldReturn200AndEchoBody"
"","2612","Basic auth with invalid credentials returns 401","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:58 UTC 2026","ra.hul.tests.api.AuthenticationTest","API Tests","ra.hul.tests.api.AuthenticationTest","basicAuth_invalidCredentials_shouldReturn401"
"","4557","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:14 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","3718","GET /json returns valid JSON body","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_json_shouldReturnValidJsonBody"
"","3713","Content-Type header is sent correctly","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.HeadersTest","API Tests","ra.hul.tests.api.HeadersTest","headers_contentType_shouldBeJson"
"","2208","Toggle first checkbox and verify state change","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:11 UTC 2026","ra.hul.tests.web.CheckboxTest","Web Regression Tests","ra.hul.tests.web.CheckboxTest","checkbox_toggleFirst_shouldChangeState"
"","650","Verify file download page loads and has download links","Web Test Suite","Sat Mar 28 11:45:14 UTC 2026","passed","Sat Mar 28 11:45:15 UTC 2026","ra.hul.tests.web.FileDownloadTest","Web Regression Tests","ra.hul.tests.web.FileDownloadTest","fileDownload_pageLoad_shouldShowDownloadLinks"
"","1327","Drag column A to column B using JavaScript workaround","Web Test Suite","Sat Mar 28 11:45:18 UTC 2026","passed","Sat Mar 28 11:45:20 UTC 2026","ra.hul.tests.web.DragAndDropTest","Web Regression Tests","ra.hul.tests.web.DragAndDropTest","dragAndDrop_AtoB_shouldSwapHeaders"
"","1036","Hover over first profile to reveal name","Web Test Suite","Sat Mar 28 11:45:19 UTC 2026","passed","Sat Mar 28 11:45:20 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_firstProfile_shouldShowName"
"","1335","Dismiss a JS confirm and verify Cancel result","Web Test Suite","Sat Mar 28 11:45:15 UTC 2026","passed","Sat Mar 28 11:45:16 UTC 2026","ra.hul.tests.web.JavaScriptAlertsTest","Web Regression Tests","ra.hul.tests.web.JavaScriptAlertsTest","jsConfirm_dismiss_shouldShowCancelResult"
"","3742","GET with query params echoes them back","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_withQueryParams_shouldEchoParams"
"","719","Hover over second profile to reveal name","Web Test Suite","Sat Mar 28 11:45:19 UTC 2026","passed","Sat Mar 28 11:45:20 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_secondProfile_shouldShowName"
"","1","Type text into iFrame editor","Web Test Suite","Sat Mar 28 11:44:58 UTC 2026","unknown","Sat Mar 28 11:44:58 UTC 2026","ra.hul.tests.web.FramesTest","Web Regression Tests","ra.hul.tests.web.FramesTest","iframe_typeText_shouldUpdateContent"
"","3309","Select Option 2 from dropdown","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:13 UTC 2026","ra.hul.tests.web.DropdownTest","Web Regression Tests","ra.hul.tests.web.DropdownTest","dropdown_selectOption2_shouldBeSelected"
"","1828","Toggle second checkbox and verify state change","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:11 UTC 2026","ra.hul.tests.web.CheckboxTest","Web Regression Tests","ra.hul.tests.web.CheckboxTest","checkbox_toggleSecond_shouldChangeState"
"","1226","Drag and swap back to original positions","Web Test Suite","Sat Mar 28 11:45:18 UTC 2026","passed","Sat Mar 28 11:45:19 UTC 2026","ra.hul.tests.web.DragAndDropTest","Web Regression Tests","ra.hul.tests.web.DragAndDropTest","dragAndDrop_AtoB_thenBtoA_shouldRestoreOriginal"
"Validates that a user can log in with valid credentials and sees the secure area","4578","Verify successful login with valid credentials","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:14 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_validCredentials_shouldShowSecurePage"
"","4192","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:13 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","2560","Select by value attribute","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:12 UTC 2026","ra.hul.tests.web.DropdownTest","Web Regression Tests","ra.hul.tests.web.DropdownTest","dropdown_selectByValue_shouldWork"
"","7501","Wait for hidden element to appear after clicking start","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:17 UTC 2026","ra.hul.tests.web.DynamicLoadingTest","Web Regression Tests","ra.hul.tests.web.DynamicLoadingTest","dynamicLoading_example1_shouldShowHiddenElement"
"","3710","Verify logout after successful login","Web Test Suite","Sat Mar 28 11:45:16 UTC 2026","failed","Sat Mar 28 11:45:20 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_thenLogout_shouldReturnToLoginPage"
"","1891","Type into JS prompt and verify typed text in result","Web Test Suite","Sat Mar 28 11:45:16 UTC 2026","passed","Sat Mar 28 11:45:18 UTC 2026","ra.hul.tests.web.JavaScriptAlertsTest","Web Regression Tests","ra.hul.tests.web.JavaScriptAlertsTest","jsPrompt_typeAndAccept_shouldShowTypedText"
"","3917","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:13 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","6930","Wait for element to be rendered after clicking start","Web Test Suite","Sat Mar 28 11:45:13 UTC 2026","passed","Sat Mar 28 11:45:20 UTC 2026","ra.hul.tests.web.DynamicLoadingTest","Web Regression Tests","ra.hul.tests.web.DynamicLoadingTest","dynamicLoading_example2_shouldRenderElement"
"","3839","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 11:45:09 UTC 2026","passed","Sat Mar 28 11:45:13 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","3709","PUT /put echoes the sent body","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.PutPatchDeleteTest","API Tests","ra.hul.tests.api.PutPatchDeleteTest","put_shouldReturn200AndEchoBody"
"","3752","POST with POJO serialization","API Test Suite","Sat Mar 28 11:44:55 UTC 2026","passed","Sat Mar 28 11:44:59 UTC 2026","ra.hul.tests.api.PostRequestTest","API Tests","ra.hul.tests.api.PostRequestTest","post_withPojo_shouldSerializeAndEcho"
